  4  Maxtime , Mintime + JacobiMi , JacobiMa    5.57876362900        5.57872797800        5.43402966800        5.46986548400       Residual    12019999.9905      MLUPs    309.746050365    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    5.55822715400        5.55822628600        5.43409508600        5.45574258500       Residual    1999999.99999      MLUPs    310.890496578    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    5.57958020400        5.57957643900        5.43379508700        5.47731625000       Residual    425925.925763      MLUPs    309.700718839    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    5.58247756800        5.58247670400        5.43353920600        5.48016675700       Residual    126543.209842      MLUPs    309.539980941    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    5.56129302400        5.56129173100        5.43329541700        5.45904975700       Residual    51826.1316899      MLUPs    310.719106608    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    5.57086000500        5.57085897600        5.43352561900        5.46861529400       Residual    26702.1351013      MLUPs    310.185500703    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    5.57001007100        5.57000899700        5.43344955900        5.46778246800       Residual    15893.9988852      MLUPs    310.232832252    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    5.57663627400        5.57663548000        5.43356709200        5.47431419000       Residual    10378.2429891      MLUPs    309.864211166    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    5.57800146500        5.57800102100        5.43299418400        5.47576992200       Residual    7222.26330259      MLUPs    309.788373281    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    5.57552486200        5.57552392000        5.43358375700        5.47315635800       Residual    5266.18987024      MLUPs    309.925978768    
