  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.0752095680        22.0752095680        21.7217663060        21.7217663060       Residual    12019999.9907      MLUPs    78.2778525693    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.0675043410        22.0675043410        21.7225970370        21.7225970370       Residual    1999999.99988      MLUPs    78.3051845509    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.0646275900        22.0646275900        21.7190737850        21.7190737850       Residual    425925.925769      MLUPs    78.3153938561    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.0672649290        22.0672649290        21.7187841600        21.7187841600       Residual    126543.209762      MLUPs    78.3060340989    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.0630295490        22.0630295490        21.7178580640        21.7178580640       Residual    51826.1316912      MLUPs    78.3210662961    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.0640054780        22.0640054780        21.7190398020        21.7190398020       Residual    26702.1350987      MLUPs    78.3176020203    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.0644125060        22.0644125060        21.7193965320        21.7193965320       Residual    15893.9988922      MLUPs    78.3161572750    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.0645998570        22.0645998570        21.7195582660        21.7195582660       Residual    10378.2429895      MLUPs    78.3154922908    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.0647742290        22.0647742290        21.7197881270        21.7197881270       Residual    7222.26329851      MLUPs    78.3148733844    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.0645377640        22.0645377640        21.7193755920        21.7193755920       Residual    5266.18987139      MLUPs    78.3157126826    
