  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.0844122310        22.0844122310        21.7304149000        21.7304149000       Residual    12019999.9907      MLUPs    78.2452338747    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.0782874840        22.0782874840        21.7314679790        21.7314679790       Residual    1999999.99988      MLUPs    78.2669399179    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.0777533620        22.0777533620        21.7312694470        21.7312694470       Residual    425925.925769      MLUPs    78.2688334119    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.0816810100        22.0816810100        21.7346730310        21.7346730310       Residual    126543.209762      MLUPs    78.2549118075    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.0771428180        22.0771428180        21.7307224320        21.7307224320       Residual    51826.1316912      MLUPs    78.2709979387    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.0803548120        22.0803548120        21.7313538580        21.7313538580       Residual    26702.1350987      MLUPs    78.2596119815    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.0819752240        22.0819752240        21.7355420110        21.7355420110       Residual    15893.9988922      MLUPs    78.2538691612    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.0777261830        22.0777261830        21.7311594360        21.7311594360       Residual    10378.2429895      MLUPs    78.2689297655    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.0799031540        22.0799031540        21.7309780930        21.7309780930       Residual    7222.26329851      MLUPs    78.2612128300    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.1035747470        22.1035747470        21.7537363810        21.7537363810       Residual    5266.18987139      MLUPs    78.1773997998    
