  4  Maxtime , Mintime + JacobiMi , JacobiMa   0.388773251000       0.387665194000       0.314335568000       0.321018566000       Residual    12019999.9904      MLUPs    4444.75023823    
  4  Maxtime , Mintime + JacobiMi , JacobiMa   0.339077116000       0.339068847000       0.314141000000       0.322616748000       Residual    2000000.00000      MLUPs    5096.18584818    
  4  Maxtime , Mintime + JacobiMi , JacobiMa   0.336346986000       0.336341293000       0.314243307000       0.319186286000       Residual    425925.925798      MLUPs    5137.55161166    
  4  Maxtime , Mintime + JacobiMi , JacobiMa   0.336655008000       0.336648484000       0.314147139000       0.319052734000       Residual    126543.209841      MLUPs    5132.85101643    
  4  Maxtime , Mintime + JacobiMi , JacobiMa   0.351268898000       0.351252664000       0.314311943000       0.335023391000       Residual    51826.1316875      MLUPs    4919.30828445    
  4  Maxtime , Mintime + JacobiMi , JacobiMa   0.336639872000       0.336634822000       0.314221023000       0.318937023000       Residual    26702.1350991      MLUPs    5133.08179965    
  4  Maxtime , Mintime + JacobiMi , JacobiMa   0.336827183000       0.336821312000       0.314293717000       0.319070505000       Residual    15893.9988846      MLUPs    5130.22727147    
  4  Maxtime , Mintime + JacobiMi , JacobiMa   0.336612662000       0.336588855000       0.314262043000       0.319066000000       Residual    10378.2429903      MLUPs    5133.49673103    
  4  Maxtime , Mintime + JacobiMi , JacobiMa   0.353671909000       0.353652521000       0.314602886000       0.331613252000       Residual    7222.26330344      MLUPs    4885.88422215    
  4  Maxtime , Mintime + JacobiMi , JacobiMa   0.336719014000       0.336707194000       0.314290271000       0.319059044000       Residual    5266.18987019      MLUPs    5131.87532677    
