  4  Maxtime , Mintime + JacobiMi , JacobiMa    3.83183743100        3.83179515300        3.76053080400        3.76995061100       Residual    12019999.9905      MLUPs    450.958588697    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    3.82902165000        3.82902043800        3.75955751500        3.76972562700       Residual    1999999.99999      MLUPs    451.290214042    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    3.82910299100        3.82910114300        3.76002138800        3.76986498700       Residual    425925.925763      MLUPs    451.280627359    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    3.82925626100        3.82925556600        3.75936537200        3.76998078000       Residual    126543.209842      MLUPs    451.262564378    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    3.82945483600        3.82945419800        3.76049949700        3.77016658500       Residual    51826.1316899      MLUPs    451.239164321    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    3.82918375200        3.82918321000        3.75857037200        3.76988608000       Residual    26702.1351013      MLUPs    451.271109436    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    3.82963733600        3.82963720100        3.76021306300        3.77035864500       Residual    15893.9988852      MLUPs    451.217660679    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    3.82895851900        3.82895761200        3.75825437300        3.76965960400       Residual    10378.2429891      MLUPs    451.297654813    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    3.82968886600        3.82968827400        3.76069602600        3.77037163500       Residual    7222.26330259      MLUPs    451.211589365    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    3.82918407600        3.82918353300        3.75951347800        3.76989446700       Residual    5266.18987024      MLUPs    451.271071253    
