  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.3690179790        15.3689838130        15.0659374010        15.0818288720       Residual    32033333.3073      MLUPs    449.735956419    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.3618274440        15.3618265330        15.0648731550        15.0831041690       Residual    5333333.33307      MLUPs    449.946467970    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.3628902960        15.3628892310        15.0642004490        15.0843497970       Residual    1135802.46871      MLUPs    449.915339290    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.3620942120        15.3620936770        15.0650301120        15.0834327840       Residual    337448.559451      MLUPs    449.938654497    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.3626255760        15.3626246850        15.0643918840        15.0843656540       Residual    138203.017822      MLUPs    449.923091974    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.3621124820        15.3621116730        15.0655138540        15.0837293660       Residual    71205.6936011      MLUPs    449.938119389    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.3618866960        15.3618858930        15.0645619120        15.0835259740       Residual    42383.9970368      MLUPs    449.944732492    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.3621710250        15.3621700470        15.0652903910        15.0837716300       Residual    27675.3146441      MLUPs    449.936404741    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.3616045700        15.3616036000        15.0647593840        15.0830560290       Residual    19259.3688045      MLUPs    449.952996024    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.3617258800        15.3617252760        15.0650677160        15.0833518710       Residual    14043.1729836      MLUPs    449.949442790    
