  4  Maxtime , Mintime + JacobiMi , JacobiMa   0.968648665000       0.968321399000       0.905592653000       0.933882781000       Residual    12019999.9904      MLUPs    1783.92854131    
  4  Maxtime , Mintime + JacobiMi , JacobiMa   0.966556082000       0.966542177000       0.910984067000       0.933627725000       Residual    2000000.00000      MLUPs    1787.79072646    
  4  Maxtime , Mintime + JacobiMi , JacobiMa   0.967011974000       0.967004661000       0.911565292000       0.934147343000       Residual    425925.925794      MLUPs    1786.94788323    
  4  Maxtime , Mintime + JacobiMi , JacobiMa   0.978569469000       0.978563960000       0.910985766000       0.945806577000       Residual    126543.209842      MLUPs    1765.84295213    
  4  Maxtime , Mintime + JacobiMi , JacobiMa   0.967049442000       0.967043506000       0.911218372000       0.934231598000       Residual    51826.1316863      MLUPs    1786.87864855    
  4  Maxtime , Mintime + JacobiMi , JacobiMa   0.967059854000       0.967043768000       0.912166201000       0.934184899000       Residual    26702.1350984      MLUPs    1786.85940984    
  4  Maxtime , Mintime + JacobiMi , JacobiMa   0.968408432000       0.968394783000       0.910001764000       0.935495187000       Residual    15893.9988844      MLUPs    1784.37108032    
  4  Maxtime , Mintime + JacobiMi , JacobiMa   0.967680504000       0.967675785000       0.911260853000       0.934848115000       Residual    10378.2429902      MLUPs    1785.71335566    
  4  Maxtime , Mintime + JacobiMi , JacobiMa   0.968231213000       0.968216958000       0.911296703000       0.935416608000       Residual    7222.26330347      MLUPs    1784.69768047    
  4  Maxtime , Mintime + JacobiMi , JacobiMa   0.970596073000       0.970589927000       0.911199197000       0.937722719000       Residual    5266.18987021      MLUPs    1780.34925967    
