  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.4253643840        22.4253601280        21.7359464470        22.0481832010       Residual    48039999.9610      MLUPs    616.444832881    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.4150724970        22.4147561940        21.7347877680        22.0457263810       Residual    7999999.99969      MLUPs    616.727873704    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.4365516060        22.4365399420        21.7350315000        22.0678837510       Residual    1703703.70306      MLUPs    616.137463669    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.4331024160        22.4330936690        21.7349098240        22.0644467430       Residual    506172.839227      MLUPs    616.232197564    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.4446590910        22.4446504110        21.7351233590        22.0756587810       Residual    207304.526726      MLUPs    615.914901801    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.4418456360        22.4418435860        21.7358288190        22.0729330960       Residual    106808.540404      MLUPs    615.992116879    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.4343588670        22.4343551180        21.7357660640        22.0655897960       Residual    63575.9955490      MLUPs    616.197685076    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.4308958690        22.4308871190        21.7356571110        22.0620326110       Residual    41512.9719591      MLUPs    616.292816869    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.4427085840        22.4427038750        21.7351962070        22.0737826030       Residual    28889.0532118      MLUPs    615.968431273    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.4386551970        22.4386457780        21.7346918810        22.0698056460       Residual    21064.7594773      MLUPs    616.079701686    
