  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.2660887280        22.2660499620        21.7367185950        21.8973155990       Residual    32033333.3073      MLUPs    310.427218917    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.2651533150        22.2651523690        21.7366797780        21.9049258310       Residual    5333333.33307      MLUPs    310.440260716    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.2676888060        22.2676872810        21.7359812630        21.9074903760       Residual    1135802.46871      MLUPs    310.404912706    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.2646177220        22.2646166740        21.7368946370        21.9044717710       Residual    337448.559451      MLUPs    310.447728603    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.2643660880        22.2643640480        21.7334690640        21.9043334050       Residual    138203.017822      MLUPs    310.451237313    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.2641513970        22.2641499070        21.7351377250        21.9039936150       Residual    71205.6936011      MLUPs    310.454230963    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.2650259070        22.2650248870        21.7299958570        21.9049528090       Residual    42383.9970368      MLUPs    310.442037160    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.2627564580        22.2627552080        21.7314814000        21.9025382660       Residual    27675.3146441      MLUPs    310.473683393    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.2634106710        22.2634091730        21.7294854050        21.9030590520       Residual    19259.3688045      MLUPs    310.464560087    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    28.0782583390        28.0782561120        26.7046312620        27.6314424160       Residual    14043.1729836      MLUPs    246.169114784    
