  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.9689988040        15.9688852410        15.0862744430        15.5805720790       Residual    160073333.205      MLUPs    5194.06388704    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.8905246950        15.8905207630        15.1176421290        15.5971708230       Residual    26666666.6661      MLUPs    5219.71436387    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.8843460370        15.8843405810        15.1537964490        15.5910596420       Residual    5679012.34346      MLUPs    5221.74471689    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.8636291540        15.8636132990        15.1467638850        15.5702274380       Residual    1687242.79763      MLUPs    5228.56398084    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.8213942980        15.8213858770        15.1224651290        15.5280140600       Residual    691015.089136      MLUPs    5242.52151471    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.8344627160        15.8344499390        15.1352108130        15.5340487440       Residual    356028.468017      MLUPs    5238.19478360    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.8346910430        15.8346859050        15.1143909490        15.5412676240       Residual    211919.985145      MLUPs    5238.11925189    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.8483630420        15.8483446420        15.1353991360        15.5549140370       Residual    138376.573189      MLUPs    5233.60045326    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.8503824130        15.8503643590        15.1195117570        15.5570319910       Residual    96296.8440392      MLUPs    5232.93368190    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.8615900590        15.8615684440        15.1321721680        15.5679916880       Residual    70215.8649280      MLUPs    5229.23614161    
