  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.6058419910        15.6055144980        15.1688037330        15.2978064010       Residual    64046666.6147      MLUPs    1328.73317646    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.6136973420        15.6136929720        15.1868729220        15.3144521500       Residual    10666666.6663      MLUPs    1328.06468230    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.6280918650        15.6280887470        15.2012393120        15.3289428940       Residual    2271604.93741      MLUPs    1326.84144546    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.6264205920        15.6264061380        15.1982990650        15.3272287670       Residual    674897.119005      MLUPs    1326.98335348    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.6081293420        15.6081221660        15.1813508630        15.3088983170       Residual    276406.035641      MLUPs    1328.53845234    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.5997270810        15.5997255970        15.1735937780        15.3006613050       Residual    142411.387205      MLUPs    1329.25402427    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.6010389090        15.6010357340        15.1706616710        15.3018692760       Residual    84767.9940627      MLUPs    1329.14225270    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.5876304940        15.5876279810        15.1607864500        15.2883503470       Residual    55350.6292781      MLUPs    1330.28557535    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.5698249460        15.5698181350        15.1397090730        15.2707305350       Residual    38518.7376158      MLUPs    1331.80688106    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.5670178650        15.5670076840        15.1403642360        15.2678014480       Residual    28086.3459706      MLUPs    1332.04703559    
