  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.4726826400        15.4715523590        15.0502443120        15.1805863700       Residual    64046666.6147      MLUPs    1340.16837820    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.4622469320        15.4622247400        15.0498780130        15.1788200560       Residual    10666666.6663      MLUPs    1341.07287842    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.4637016930        15.4636910950        15.0504399680        15.1804129100       Residual    2271604.93741      MLUPs    1340.94671584    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.4620590840        15.4620498090        15.0495341740        15.1786566870       Residual    674897.119005      MLUPs    1341.08917107    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.4631101030        15.4630963950        15.0508865210        15.1798400600       Residual    276406.035641      MLUPs    1340.99801798    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.4618088280        15.4618004760        15.0492834890        15.1784444400       Residual    142411.387205      MLUPs    1341.11087717    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.4642932850        15.4642822740        15.0498427160        15.1809467780       Residual    84767.9940627      MLUPs    1340.89541745    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.4621427590        15.4621273360        15.0504125760        15.1787689930       Residual    55350.6292781      MLUPs    1341.08191363    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.4641610020        15.4641551360        15.0503198390        15.1808618270       Residual    38518.7376158      MLUPs    1340.90688769    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.4628688770        15.4628602370        15.0491331710        15.1794752080       Residual    28086.3459706      MLUPs    1341.01893801    
