  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.3001275610        22.3000846150        21.8929379890        21.9227692020       Residual    32033333.3073      MLUPs    309.953383948    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.3097035970        22.3097029130        21.9158085210        21.9409681840       Residual    5333333.33307      MLUPs    309.820342074    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.3201519610        22.3201509700        21.9245979370        21.9514355880       Residual    1135802.46871      MLUPs    309.675310996    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.3241582330        22.3241576820        21.9275213680        21.9553090410       Residual    337448.559451      MLUPs    309.619736962    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.3434091680        22.3434081960        21.9453546970        21.9747884730       Residual    138203.017822      MLUPs    309.352970625    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.3289068600        22.3289061090        21.9306880740        21.9601324710       Residual    71205.6936011      MLUPs    309.553890987    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.3420831320        22.3420822880        21.9445988410        21.9733896520       Residual    42383.9970368      MLUPs    309.371331185    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.3471198090        22.3471195730        21.9492312500        21.9784764970       Residual    27675.3146441      MLUPs    309.301603924    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.3598478460        22.3598470540        21.9633234990        21.9909472640       Residual    19259.3688045      MLUPs    309.125538224    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    22.3220741200        22.3220734190        21.9274474240        21.9534566190       Residual    14043.1729836      MLUPs    309.648644783    
