  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.3028432400        15.3017516370        15.0552863910        15.0928440590       Residual    48039999.9610      MLUPs    903.361537669    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.2974687910        15.2974663550        15.0531970550        15.0937783290       Residual    7999999.99969      MLUPs    903.678915046    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.2964404860        15.2964368600        15.0542724840        15.0928671860       Residual    1703703.70306      MLUPs    903.739664967    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.2971279790        15.2971197540        15.0532405080        15.0934451640       Residual    506172.839227      MLUPs    903.699048539    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.2974409020        15.2974387680        15.0543952400        15.0937326200       Residual    207304.526726      MLUPs    903.680562557    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.2970989470        15.2970910290        15.0544856430        15.0934336200       Residual    106808.540404      MLUPs    903.700763648    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.2958487590        15.2958452810        15.0534378570        15.0922148550       Residual    63575.9955490      MLUPs    903.774626555    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.2965002260        15.2964969450        15.0527361890        15.0928164520       Residual    41512.9719591      MLUPs    903.736135440    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.2967975950        15.2967942040        15.0535980290        15.0931640760       Residual    28889.0532118      MLUPs    903.718566853    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.2971044150        15.2971007930        15.0536190420        15.0934051880       Residual    21064.7594773      MLUPs    903.700440617    
