  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.4321180920        15.4316257310        15.0507357300        15.1236650060       Residual    104059999.916      MLUPs    2687.38223443    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.4250233920        15.4250154460        15.0518081510        15.1257416580       Residual    17333333.3328      MLUPs    2688.61828900    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.4241237280        15.4241207960        15.0522361700        15.1246959110       Residual    3691358.02327      MLUPs    2688.77511172    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.4244713770        15.4244685460        15.0515938700        15.1251728040       Residual    1096707.81844      MLUPs    2688.71450997    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.4245908350        15.4245771670        15.0510608850        15.1253627200       Residual    449159.807929      MLUPs    2688.69368683    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.4243040760        15.4242949660        15.0514534740        15.1249281660       Residual    231418.504209      MLUPs    2688.74367334    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.4236231160        15.4236100460        15.0517257580        15.1242459630       Residual    137747.990347      MLUPs    2688.86238260    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.4245532110        15.4245415650        15.0511585250        15.1251882320       Residual    89944.7725746      MLUPs    2688.70024517    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.4235607800        15.4235564070        15.0512226560        15.1242900700       Residual    62592.9486258      MLUPs    2688.87324993    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    15.4249369510        15.4249337060        15.0512098890        15.1255776680       Residual    45640.3122031      MLUPs    2688.63335596    
