  4  Maxtime , Mintime + JacobiMi , JacobiMa    1.93572854700        1.93455866000        1.88229243400        1.88344226200       Residual    12019999.9905      MLUPs    892.687150106    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    1.93194230500        1.93193990800        1.88239192100        1.88398765100       Residual    1999999.99999      MLUPs    894.436648304    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    1.93163137200        1.93162974600        1.88208924000        1.88363525600       Residual    425925.925796      MLUPs    894.580624983    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    1.93253559600        1.93253332100        1.88186284100        1.88460259300       Residual    126543.209849      MLUPs    894.162055062    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    1.93147056300        1.93146760400        1.88182242400        1.88348199200       Residual    51826.1316872      MLUPs    894.655105339    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    1.93197649300        1.93197441800        1.88206144200        1.88394875500       Residual    26702.1350985      MLUPs    894.420820471    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    1.93178458400        1.93178277100        1.88227602600        1.88379886300       Residual    15893.9988845      MLUPs    894.509674791    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    1.93209354100        1.93209075400        1.88237165300        1.88414227800       Residual    10378.2429902      MLUPs    894.366635637    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    1.93165636800        1.93165476900        1.88212004200        1.88363653500       Residual    7222.26330355      MLUPs    894.569048940    
  4  Maxtime , Mintime + JacobiMi , JacobiMa    1.93167164800        1.93166845700        1.88210132600        1.88373708600       Residual    5266.18987010      MLUPs    894.561972677    
