2 1 0.019192
2 0 0.018785
3 1 0.003087
3 0 0.002657
3 2 0.002839
4 1 0.001708
4 3 0.001494
4 2 0.001365
4 0 0.001937
5 1 0.001647
5 3 0.001996
5 0 0.001764
5 4 0.001725
5 2 0.001297
6 1 0.001580
6 5 0.001572
6 2 0.001698
6 0 0.001296
6 4 0.001718
6 3 0.001228
7 1 0.002952
7 3 0.002955
7 5 0.002554
7 6 0.002678
7 0 0.002438
7 4 0.002664
7 2 0.002964
8 5 0.002663
8 7 0.002675
8 1 0.002518
8 3 0.002400
8 4 0.002971
8 2 0.002971
8 6 0.002819
8 0 0.002423
9 1 0.002735
9 3 0.002692
9 8 0.002742
9 5 0.002689
9 7 0.002696
9 4 0.002511
9 0 0.002719
9 6 0.002636
9 2 0.002744
10 5 0.002436
10 1 0.002863
10 7 0.002440
10 8 0.002847
10 3 0.003029
10 9 0.002516
10 6 0.002675
10 0 0.002690
10 2 0.002495
10 4 0.002920
11 5 0.002913
11 1 0.002640
11 7 0.003281
11 9 0.002853
11 3 0.002794
11 6 0.002086
11 4 0.002986
11 0 0.002843
11 8 0.003049
11 10 0.002662
11 2 0.003131
12 7 0.002628
12 3 0.002644
12 5 0.002714
12 9 0.002582
12 1 0.002683
12 2 0.002612
12 4 0.002562
12 11 0.002700
12 8 0.002587
12 6 0.002207
12 0 0.002754
12 10 0.002749
13 5 0.002773
13 3 0.002651
13 9 0.002674
13 1 0.002657
13 7 0.002627
13 11 0.002693
13 4 0.002763
13 0 0.002709
13 2 0.002643
13 8 0.002350
13 6 0.002595
13 10 0.002746
13 12 0.002742
14 3 0.006744
14 9 0.006390
14 5 0.006797
14 7 0.006735
14 13 0.006798
14 1 0.000105
14 11 0.006728
14 0 0.006821
14 2 0.006825
14 6 0.006824
14 10 0.006668
14 12 0.006669
14 8 0.006835
14 4 0.006746
15 13 0.002922
15 1 0.002836
15 9 0.002731
15 5 0.002718
15 11 0.002784
15 7 0.002712
15 3 0.002635
15 8 0.002644
15 10 0.002418
15 6 0.002716
15 4 0.002629
15 12 0.002757
15 14 0.002918
15 2 0.002762
15 0 0.002656
16 3 0.002672
16 5 0.002693
16 11 0.002740
16 12 0.002848
16 2 0.002800
16 15 0.002681
16 1 0.002687
16 9 0.002704
16 13 0.002776
16 7 0.002781
16 10 0.002852
16 6 0.001545
16 4 0.002834
16 0 0.002702
16 14 0.002742
16 8 0.002735
17 15 0.002855
17 13 0.002940
17 5 0.002810
17 7 0.002930
17 11 0.002928
