Time of processor 5: 0.041620
Time of processor 3: 0.043625
Time of processor 7: 0.043883
Time of processor 11: 0.043934
Time of processor 9: 0.044135
Time of processor 13: 0.045077
Time of processor 17: 0.045283
Time of processor 15: 0.045685
Time of processor 23: 0.045800
Time of processor 21: 0.045961
Time of processor 19: 0.046318
Time of processor 1: 0.046664
Time of processor 6: 0.049944
Time of processor 10: 0.050007
Time of processor 14: 0.051689
Time of processor 22: 0.051693
Time of processor 18: 0.052245
Time of processor 2: 0.052342
Time of processor 12: 0.062691
Time of processor 4: 0.062833
Time of processor 20: 0.062937
Time of processor 8: 0.084422
Time of processor 0: 0.104927
Time of processor 16: 0.105362
